text,label
"MV SHENG AN HAI DWT 56564 OPEN XIAMEN CHINA",TONNAGE
"MV FENG HUI HAI DWT 63260 OPEN GUANGZHOU CHINA",TONNAGE
"MV YIN HUA 1 DWT 46613 OPEN CHITTAGONG",TONNAGE
"MV BI JIA SHAN DWT 56623 OPEN GWADAR",TONNAGE
"MV TRUE FRIEND OPEN BEJAIA",TONNAGE
"MV BLUE STAR OPEN GABES TUNISIA",TONNAGE

"LOAD PORT KOH SI CHANG DISCHARGE PORT KANDLA",CARGO_VC
"20-30000 mts iron slag LP Bushehr DP Doha",CARGO_VC
"Cargo 30000 mts Urea POL Blk POD Iskenderun",CARGO_VC
"LOAD PORT THAILAND DISCHARGE PORT CHENNAI",CARGO_VC

"DELIVERY TM VANCOUVER REDELIVERY CHITTAGONG",CARGO_TC
"1 TCT WITH GRAINS REDELIVERY CHITTAGONG",CARGO_TC
"DELIVERY ECI REDEL MED DURATION 35 DAYS",CARGO_TC
"DELIVERY INDONESIA 1 TCT WITH CLINKER",CARGO_TC
